replicate,RZ_ratio,log_RZ_ratio,coupling_advantage
112,1.00078187556,0.000781570056442,0.000390708681697
113,0.9997124118,-0.000287629560924,-0.000143825122303
114,1.00012243192,0.000122424423706,6.1210338424e-05
115,0.999629435359,-0.000370633316793,-0.000185333830589
116,1.00051205178,0.000511920725484,0.000255927607683
117,1.00014412077,0.000144110388769,7.20525984715e-05
118,0.999818567844,-0.000181448617238,-9.07284241933e-05
119,1.00019800592,0.0001979863155,9.8988258089e-05
120,1.00011861914,0.000118612108365,5.93042956134e-05
121,0.999794702604,-0.000205318472369,-0.000102664505824
122,1.00028918354,0.000289141734509,0.000144560417391
123,1.00018633007,0.000186312708254,9.31520152084e-05
124,0.999750485372,-0.000249545761455,-0.000124780665187
125,1.00008845057,8.84466539624e-05,4.42223491444e-05
126,1.00025182812,0.000251796420445,0.000125890285375
127,1.0004283219,0.000428230197843,0.000214092177919
128,0.999971872652,-2.81277439527e-05,-1.4063970873e-05
129,0.999842430685,-0.000157581729866,-7.87939690146e-05
130,1.00018643542,0.00018641804133,9.32046768393e-05
131,0.999914321487,-8.56821835009e-05,-4.28420094432e-05
132,1.00041805135,0.000417963988027,0.000208960158798
133,0.999701550396,-0.000298494148843,-0.00014925821232
134,1.00007618211,7.61792095912e-05,3.80888793958e-05
135,1.00012580075,0.000125792835362,6.28944397428e-05
136,0.999918196236,-8.18071100134e-05,-4.09043915686e-05
137,1.00054722698,0.000547077304404,0.000273501243916
138,1.00002050984,2.0509626077e-05,1.0254760458e-05
139,1.00085884821,0.000858479614665,0.000429147697106
140,0.999620190436,-0.000379881709711,-0.000189958894762
141,0.999899431771,-0.000100573285886,-5.02879073374e-05
142,1.00034999349,0.000349932257739,0.000174950823189
143,0.999911020074,-8.8983885074e-05,-4.44929323182e-05
144,1.00014750086,0.000147489981056,7.37422714331e-05
145,1.0004149832,0.000414897120959,0.000207427044515
146,0.999810230607,-0.00018978740106,-9.48982030795e-05
147,1.00003391895,3.39183753072e-05,1.69590438474e-05
148,0.999998741014,-1.25898698238e-06,-6.29493689397e-07
149,1.00052105343,0.000520917727542,0.000260424947306
150,0.999959118052,-4.08827840979e-05,-2.04416009757e-05
151,0.999491206309,-0.000508923170547,-0.000254493963369
152,1.00030768248,0.000307635157991,0.000153805749678
153,1.0000831636,8.31601392521e-05,4.1579205187e-05
154,1.00033964407,0.000339586407991,0.000169778789945
155,1.00036332614,0.000363260158035,0.000181613585273
156,1.00022435128,0.000224326112033,0.000112156765976
157,1.00048225586,0.000482139613795,0.000241040751906
158,1.00031782885,0.000317778357915,0.00015887655674
159,1.00024822451,0.000248193711475,0.000124089156041
160,1.000295948,0.000295904212409,0.000147941161831
161,0.9997792209,-0.00022080347553,-0.000110407832261
162,0.999844700036,-0.000155312024031,-7.76590273217e-05
163,0.999675187003,-0.000324865760192,-0.000162446073031
164,1.00062976817,0.000629569951657,0.000314735436236
165,0.999826018227,-0.000173996909246,-8.70022390984e-05
166,0.999620260162,-0.00037981195732,-0.000189924011942
167,1.00050001191,0.000499886945511,0.000249912239488
168,1.00021588434,0.0002158610425,0.000107924696961
169,1.00029330127,0.000293258266829,0.000146618383888
170,1.00058567808,0.000585506637092,0.000292710470475
171,1.00070592316,0.000705674118351,0.000352774819501
172,1.00062315936,0.000622965278919,0.000311434133778
173,1.00065148184,0.000651269713513,0.000325581843481
174,1.00003196389,3.19633790158e-05,1.59815618014e-05
175,1.00065025469,0.000650043364736,0.000324968868543
176,0.999683189847,-0.000316860348022,-0.000158442724734
177,0.99960970721,-0.000390368973627,-0.000195203536545
178,0.999706400349,-0.000293642759548,-0.00014683215856
179,1.00000235855,2.3585506252e-06,1.17927461718e-06
180,1.00019438656,0.000194367666748,9.71791111781e-05
181,0.999628747518,-0.000371321413653,-0.000185677942842
182,1.00084641936,0.000846061344234,0.000422941207258
183,1.00025142275,0.000251391147624,0.000125687674454
184,0.999539694157,-0.00046041181675,-0.000230232407789
185,1.00010481629,0.000104810801594,5.24040276582e-05
186,1.00035453004,0.000354467208693,0.000177217899399
187,0.999766300231,-0.000233727081202,-0.000116870369411
188,0.999735177903,-0.000264857168599,-0.000132437353352
189,1.00024869287,0.000248661948803,0.000124323245626
190,1.00023249295,0.000232465926108,0.000116226208265
191,1.00053627832,0.000536134578701,0.000268031362525
192,1.00046290827,0.000462801160474,0.000231373809188
193,1.00049484113,0.000494718737886,0.000247328778136
194,0.999646673351,-0.000353389083364,-0.000176710153082
195,1.0001286823,0.000128674024062,6.43349424496e-05
196,0.999812586306,-0.000187431258017,-9.37200204554e-05
197,1.00030459417,0.000304547788391,0.000152262301115
198,1.00035765586,0.000357591918148,0.000178779976029
199,1.00015456559,0.000154553647366,7.72738379062e-05
200,1.00029115666,0.000291114277681,0.000145546545914
201,1.00061940597,0.000619214220558,0.000309559186944
202,0.999963160571,-3.68401078126e-05,-1.84202235565e-05
203,1.00029757154,0.000297527271772,0.000148752571125
204,1.00025740475,0.000257371625624,0.000128677533148
205,0.999837634818,-0.000162378365138,-8.11924785e-05
206,0.999736727978,-0.000263306683804,-0.000131662008583
207,1.0003887779,0.000388702343665,0.000194332286867
208,1.00025260403,0.000252572135497,0.000126278093998
209,0.999775285156,-0.000224740096045,-0.000112376361773
210,1.00034323538,0.000343176485584,0.000171573522371
211,1.00042577263,0.000425682012599,0.000212818357259
212,1.00023428042,0.000234252982018,0.000117119631969
213,1.00019078578,0.000190767582893,9.53792425576e-05
214,1.00063642985,0.000636227418856,0.000318063116627
215,1.00056821406,0.000568052684941,0.000283986010808
216,0.999812131585,-0.000187886064692,-9.39474451309e-05
217,1.00046849223,0.000468382522236,0.000234163840485
218,1.0004872651,0.000487146428797,0.000243543552851
219,1.00049963196,0.000499507190294,0.000249722409314
220,0.999938803797,-6.11980756698e-05,-3.05995059902e-05
221,1.00002714797,2.71476011955e-05,1.35737084741e-05
222,1.00021662079,0.00021659732723,0.000108292799526
223,1.00045057886,0.000450477383859,0.0002252133276
224,1.00048088814,0.000480772548641,0.000240357383855
225,1.00006519237,6.5190241644e-05,3.25945896067e-05
226,1.00021994588,0.000219921693907,0.000109954801481
227,1.00076729622,0.000767002000291,0.000383427473036
228,1.00014191049,0.000141900417715,7.09476919507e-05
229,1.00006307551,6.30735241594e-05,3.15362648012e-05
230,1.00016917352,0.000169159215217,8.45760308545e-05
231,0.999944863757,-5.51377630892e-05,-2.75692615697e-05
232,1.00023069838,0.000230671768989,0.000115329233567
233,1.00001819345,1.81932820231e-05,9.09659963721e-06
234,0.999928264857,-7.17377165251e-05,-3.58695015577e-05
235,1.00003687373,3.6873046108e-05,1.84363531024e-05
236,1.00115004403,0.0011493832336,0.000574526513204
237,0.99987345908,-0.000126548927049,-6.32764653956e-05
238,1.00079872185,0.000798403039563,0.000399121849457
239,0.999995677816,-4.32219372207e-06,-2.16109919626e-06
240,0.999778486905,-0.000221537632389,-0.000110774951286
241,0.999738872496,-0.00026116160384,-0.000130589327964
242,1.00059241065,0.0005922352398,0.000296073781405
243,1.00074753628,0.00074725701757,0.000373558718346
244,0.999594058854,-0.000406023562806,-0.000203032389689
245,0.999803865687,-0.000196153549707,-9.80815845377e-05
246,1.00047603438,0.000475921113776,0.00023793224652
247,1.00053009368,0.000529953233057,0.000264941513325
248,1.00014540835,0.000145397778436,7.2696246718e-05
249,0.999665266092,-0.000334789944343,-0.000167408983492
250,1.00045613183,0.000456027833831,0.000227987923718
251,0.999847777683,-0.000152233903986,-7.61198489618e-05
