signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,1.585,Qe2+pt+eta,703,80.8050132341,20.0395627059,325.827976368,0.0284121693345,0.0147033020712,0.999989414592,0.010515157521
scalar,1.585,all_Table_I_cuts,615,78.7693758591,19.9021123854,311.756584079,0.0276964108501,0.0143328969437,0.974808031166,0.010515157521
scalar,2.512,inclusive,19984,5507.73525551,2453.51726576,12363.9430088,0.572854188851,1,1,0.00318335577521
scalar,2.512,Qe2,8541,2104.16337346,896.757391121,4937.23669973,0.218851986632,0.382037856912,0.382037856912,0.00318335577521
scalar,2.512,Qe2+pt,978,134.473672667,38.1126613736,474.466174461,0.0139864759476,0.0244154205727,0.0639083801016,0.00318335577521
scalar,2.512,Qe2+pt+eta,973,134.466125543,38.1126102681,474.413554762,0.0139856909787,0.0244140502956,0.999943876571,0.00318335577521
scalar,2.512,all_Table_I_cuts,901,132.910742778,37.9245479066,465.8002935,0.0138239171295,0.024131650599,0.988432902643,0.00318335577521
scalar,3.981,inclusive,19998,6122.38094341,2887.00007235,12983.5633796,0.153994013536,1,1,0.000800479459728
scalar,3.981,Qe2,7561,2047.61950735,885.561855705,4734.55989536,0.0515030261993,0.334448236115,0.334448236115,0.000800479459728
scalar,3.981,Qe2+pt,1270,225.678117664,70.8929147678,718.416120415,0.00567639933343,0.036861168841,0.110214869928,0.000800479459728
scalar,3.981,Qe2+pt+eta,1166,217.382910087,69.2659730403,682.230069454,0.00546775300456,0.0355062698804,0.963243190512,0.000800479459728
scalar,3.981,all_Table_I_cuts,1093,215.306649368,69.0023913568,671.816618966,0.00541552957639,0.0351671435276,0.990448831884,0.000800479459728
scalar,5,inclusive,20000,6351.95791723,3035.89508461,13290.1066268,0.0752651419692,1,1,0.000378157278761
scalar,5,Qe2,6916,1872.29854476,796.407255529,4401.64478207,0.0221850990854,0.294759280391,0.294759280391,0.000378157278761
scalar,5,Qe2+pt,1330,245.340989514,80.7708679121,745.22167078,0.00290707599882,0.0386244670874,0.131037323188,0.000378157278761
scalar,5,Qe2+pt+eta,1189,233.22854067,78.2967774293,694.735517462,0.00276355408104,0.0367175827845,0.950630145951,0.000378157278761
scalar,5,all_Table_I_cuts,1123,232.267851883,78.2409097617,689.515947385,0.00275217075974,0.0365663398451,0.995880912415,0.000378157278761
scalar,6.31,inclusive,20000,6180.26159062,2987.60845652,12784.6851033,0.0347630490609,1,1,0.000184665382789
scalar,6.31,Qe2,7586,1940.23355747,873.186609638,4311.2276528,0.0109135241865,0.313940361426,0.313940361426,0.000184665382789
scalar,6.31,Qe2+pt,1576,285.163271521,106.643307741,762.524092202,0.00160400084251,0.0461409711126,0.146973682845,0.000184665382789
