signal_type,mass_GeV,auc,validation_threshold,signal_efficiency,photon_background_efficiency,significance_improvement,signal_efficiency_photon_only,photon_efficiency_photon_only,significance_improvement_photon_only,signal_efficiency_mc_error,photon_efficiency_mc_error,significance_improvement_mc_error,signal_xs_pb,photon_xs_pb,dis_xs_pb,ml_signal_xs_pb,ml_photon_xs_pb,ml_total_background_xs_pb,coupling_reach_improvement
vector,0.01,0.51337162437,-0.202931319614,0.999803676096,0.999667430024,0.999961530754,0.999885691331,0.998770932866,1.00050072164,0.000176066630287,0.000232308194021,0.000207782207039,0.23110216,0.58,0.031,0.231056789122,0.579807109414,0.610807109414,-1.92351780401e-05
vector,0.032,0.496338902449,-0.571504755484,0.999826663509,0.99988421569,0.999881613423,1,0.999907372626,1.0000463169,0.000166354149785,0.000133427651144,0.000178009098932,0.23214747,0.58,0.031,0.232107230372,0.5799328451,0.6109328451,-5.9198544947e-05
vector,0.1,0.50486716304,-0.212970446296,0.999833271538,0.999642908193,1.00000277348,1,0.999671029732,1.00016452573,0.000159907612278,0.000236236236033,0.000195345276524,0.22900974,0.58,0.031,0.228971557558,0.579792886752,0.610792886752,1.38673880434e-06
vector,0.316,0.512912076051,-0.197326783838,0.999646301674,0.99980709436,0.999737841003,1,0.999661741196,1.00016917232,0.000235223920172,0.000175287741961,0.000249521730923,0.21972968,0.58,0.031,0.21965196198,0.579888114729,0.610888114729,-0.000131105276731
vector,10,0.823011195182,-0.119370220164,0.937415346581,0.441121760895,1.28655951631,0.774232805914,0.280737800664,1.46123855539,0.00318361229548,0.00635152427609,0.00779888888902,0.0010695169,0.081,0.0155,0.00100258155549,0.0357308626325,0.0512308626325,0.118372640307
vector,1,0.527538111589,-0.320107971988,0.991399145241,0.984255228419,0.998583850563,0.994372462791,0.983867865584,1.00249150414,0.00114236590409,0.00159569882382,0.00136594664125,0.15751186,0.53,0.052,0.156157123369,0.521655271062,0.573655271062,-0.000708827662032
vector,1.585,0.600723083607,-0.551402475542,0.99038508943,0.953734725264,1.01193163241,0.988234359377,0.949463227678,1.01419362161,0.00121082999832,0.00261145584174,0.00176311567711,0.11345278,0.53,0.052,0.112361941666,0.50547940439,0.55747940439,0.00591295509982
vector,2.512,0.6445484265,-0.457332298508,0.982947334854,0.904033319698,1.02768240173,0.976385420819,0.878476407897,1.04173255072,0.00162156798921,0.00368903731394,0.00250111183807,0.05888783,0.41,0.052,0.0578836355538,0.370653661076,0.422653661076,0.0135603051358
vector,3.981,0.664032562737,-0.345444895633,0.967995906674,0.82966435238,1.04694347706,0.971363685897,0.83095028088,1.06560032432,0.00229737683438,0.00478345385311,0.00352167725089,0.018916282,0.19,0.033,0.0183108835455,0.157636226952,0.190636226952,0.0226764084461
vector,5,0.669391238213,-0.338923068781,0.968359323761,0.804435477702,1.05970630436,0.966913980833,0.795830719434,1.08387073498,0.00227554044115,0.00500858856876,0.00365901775822,0.0091567837,0.11,0.0204,0.00886705687156,0.0884879025472,0.108887902547,0.0285795519265
vector,6.31,0.705378460208,-0.426043690615,0.978470438152,0.763033474699,1.0932149827,0.928696544188,0.67952274171,1.12660540771,0.00191481134851,0.00548546483031,0.00380092582157,0.0047491691,0.081,0.0155,0.00464692157014,0.0618057114506,0.0773057114506,0.0435831641242
