class,mass_GeV,pt_low_GeV,pt_high_GeV,log10_t_low,log10_t_high,weighted_probability_percent
Photon proxy,1,1.63333333333,1.81111111111,-3.875,-3.75,0.756689878441
Photon proxy,1,1.63333333333,1.81111111111,-3.75,-3.625,0.701078237301
Photon proxy,1,1.63333333333,1.81111111111,-3.625,-3.5,0.723611360038
Photon proxy,1,1.63333333333,1.81111111111,-3.5,-3.375,0.714322109863
Photon proxy,1,1.63333333333,1.81111111111,-3.375,-3.25,0.849603651045
Photon proxy,1,1.63333333333,1.81111111111,-3.25,-3.125,0.643735206002
Photon proxy,1,1.63333333333,1.81111111111,-3.125,-3,0.6340925276
Photon proxy,1,1.63333333333,1.81111111111,-3,-2.875,0.639755183086
Photon proxy,1,1.63333333333,1.81111111111,-2.875,-2.75,0.594913990759
Photon proxy,1,1.63333333333,1.81111111111,-2.75,-2.625,0.557452612268
Photon proxy,1,1.63333333333,1.81111111111,-2.625,-2.5,0.425826432821
Photon proxy,1,1.63333333333,1.81111111111,-2.5,-2.375,0.311981777988
Photon proxy,1,1.63333333333,1.81111111111,-2.375,-2.25,0.241935384444
Photon proxy,1,1.63333333333,1.81111111111,-2.25,-2.125,0.158520877487
Photon proxy,1,1.63333333333,1.81111111111,-2.125,-2,0.0731376509544
Photon proxy,1,1.63333333333,1.81111111111,-2,-1.875,0.0139384055126
Photon proxy,1,1.63333333333,1.81111111111,-1.875,-1.75,0.00464707838505
Photon proxy,1,1.63333333333,1.81111111111,-1.75,-1.625,9.62034034286e-06
Photon proxy,1,1.63333333333,1.81111111111,-1.625,-1.5,0.00320444939734
Photon proxy,1,1.81111111111,1.98888888889,-6,-5.875,0
Photon proxy,1,1.81111111111,1.98888888889,-5.875,-5.75,0
Photon proxy,1,1.81111111111,1.98888888889,-5.75,-5.625,0
Photon proxy,1,1.81111111111,1.98888888889,-5.625,-5.5,0
Photon proxy,1,1.81111111111,1.98888888889,-5.5,-5.375,0.00949354648423
Photon proxy,1,1.81111111111,1.98888888889,-5.375,-5.25,0.0582669537781
Photon proxy,1,1.81111111111,1.98888888889,-5.25,-5.125,0.0835237169439
Photon proxy,1,1.81111111111,1.98888888889,-5.125,-5,0.155247560647
Photon proxy,1,1.81111111111,1.98888888889,-5,-4.875,0.221295437891
Photon proxy,1,1.81111111111,1.98888888889,-4.875,-4.75,0.282234472683
Photon proxy,1,1.81111111111,1.98888888889,-4.75,-4.625,0.321819799338
Photon proxy,1,1.81111111111,1.98888888889,-4.625,-4.5,0.316660757454
Photon proxy,1,1.81111111111,1.98888888889,-4.5,-4.375,0.38554962732
Photon proxy,1,1.81111111111,1.98888888889,-4.375,-4.25,0.492579343826
Photon proxy,1,1.81111111111,1.98888888889,-4.25,-4.125,0.418865645753
Photon proxy,1,1.81111111111,1.98888888889,-4.125,-4,0.516399968102
Photon proxy,1,1.81111111111,1.98888888889,-4,-3.875,0.46675235586
Photon proxy,1,1.81111111111,1.98888888889,-3.875,-3.75,0.461489169264
Photon proxy,1,1.81111111111,1.98888888889,-3.75,-3.625,0.613865805362
Photon proxy,1,1.81111111111,1.98888888889,-3.625,-3.5,0.535490790746
Photon proxy,1,1.81111111111,1.98888888889,-3.5,-3.375,0.545211378139
Photon proxy,1,1.81111111111,1.98888888889,-3.375,-3.25,0.468683863745
Photon proxy,1,1.81111111111,1.98888888889,-3.25,-3.125,0.465065099451
Photon proxy,1,1.81111111111,1.98888888889,-3.125,-3,0.494050545971
Photon proxy,1,1.81111111111,1.98888888889,-3,-2.875,0.464890665425
Photon proxy,1,1.81111111111,1.98888888889,-2.875,-2.75,0.446823945264
Photon proxy,1,1.81111111111,1.98888888889,-2.75,-2.625,0.359640073247
Photon proxy,1,1.81111111111,1.98888888889,-2.625,-2.5,0.346054959555
Photon proxy,1,1.81111111111,1.98888888889,-2.5,-2.375,0.292484630674
Photon proxy,1,1.81111111111,1.98888888889,-2.375,-2.25,0.178534379784
Photon proxy,1,1.81111111111,1.98888888889,-2.25,-2.125,0.137546549876
Photon proxy,1,1.81111111111,1.98888888889,-2.125,-2,0.0581096564626
Photon proxy,1,1.81111111111,1.98888888889,-2,-1.875,0.0162887016376
Photon proxy,1,1.81111111111,1.98888888889,-1.875,-1.75,0.00355751093533
Photon proxy,1,1.81111111111,1.98888888889,-1.75,-1.625,0.000750460198165
Photon proxy,1,1.81111111111,1.98888888889,-1.625,-1.5,0
Photon proxy,1,1.98888888889,2.16666666667,-6,-5.875,0
Photon proxy,1,1.98888888889,2.16666666667,-5.875,-5.75,0
Photon proxy,1,1.98888888889,2.16666666667,-5.75,-5.625,0
Photon proxy,1,1.98888888889,2.16666666667,-5.625,-5.5,0
Photon proxy,1,1.98888888889,2.16666666667,-5.5,-5.375,0
Photon proxy,1,1.98888888889,2.16666666667,-5.375,-5.25,0.00625108180461
Photon proxy,1,1.98888888889,2.16666666667,-5.25,-5.125,0.0326802781557
Photon proxy,1,1.98888888889,2.16666666667,-5.125,-5,0.057855633992
Photon proxy,1,1.98888888889,2.16666666667,-5,-4.875,0.143143350599
Photon proxy,1,1.98888888889,2.16666666667,-4.875,-4.75,0.176706307657
Photon proxy,1,1.98888888889,2.16666666667,-4.75,-4.625,0.176250851548
Photon proxy,1,1.98888888889,2.16666666667,-4.625,-4.5,0.29386352717
Photon proxy,1,1.98888888889,2.16666666667,-4.5,-4.375,0.262277597748
Photon proxy,1,1.98888888889,2.16666666667,-4.375,-4.25,0.31647888428
Photon proxy,1,1.98888888889,2.16666666667,-4.25,-4.125,0.365301060079
Photon proxy,1,1.98888888889,2.16666666667,-4.125,-4,0.322261257928
Photon proxy,1,1.98888888889,2.16666666667,-4,-3.875,0.336261068888
Photon proxy,1,1.98888888889,2.16666666667,-3.875,-3.75,0.344647282616
Photon proxy,1,1.98888888889,2.16666666667,-3.75,-3.625,0.431774416127
Photon proxy,1,1.98888888889,2.16666666667,-3.625,-3.5,0.344962626946
Photon proxy,1,1.98888888889,2.16666666667,-3.5,-3.375,0.367359562177
Photon proxy,1,1.98888888889,2.16666666667,-3.375,-3.25,0.421322385332
Photon proxy,1,1.98888888889,2.16666666667,-3.25,-3.125,0.333443272524
Photon proxy,1,1.98888888889,2.16666666667,-3.125,-3,0.382451558439
Photon proxy,1,1.98888888889,2.16666666667,-3,-2.875,0.340879475084
Photon proxy,1,1.98888888889,2.16666666667,-2.875,-2.75,0.368779948859
Photon proxy,1,1.98888888889,2.16666666667,-2.75,-2.625,0.230339757487
Photon proxy,1,1.98888888889,2.16666666667,-2.625,-2.5,0.232254436289
Photon proxy,1,1.98888888889,2.16666666667,-2.5,-2.375,0.167522839644
Photon proxy,1,1.98888888889,2.16666666667,-2.375,-2.25,0.124006921754
Photon proxy,1,1.98888888889,2.16666666667,-2.25,-2.125,0.0577603059349
Photon proxy,1,1.98888888889,2.16666666667,-2.125,-2,0.0532846480733
Photon proxy,1,1.98888888889,2.16666666667,-2,-1.875,0.0169590300973
Photon proxy,1,1.98888888889,2.16666666667,-1.875,-1.75,0.00160611002014
Photon proxy,1,1.98888888889,2.16666666667,-1.75,-1.625,0.000433269862102
